# Frequency [MHz]	SKA1-Low Station Aeff/Tsys [m2/K]	SKA1-Low Array Aeff/Tsys [m2/K]
50	0.102	52.2
60	0.255	130.3
70	0.420	214.8
80	0.580	296.9
90	0.781	399.7
100	0.862	441.3
110	0.885	453.1
120	0.924	472.9
130	0.965	493.9
140	1.052	538.4
150	1.119	572.8
160	1.159	593.3
170	1.171	599.7
180	1.190	609.1
190	1.195	612.0
200	1.223	626.4
210	1.235	632.4
220	1.263	646.5
230	1.226	627.5
240	1.234	631.7
250	1.282	656.4
260	1.304	667.9
270	1.297	664.2
280	1.306	668.8
290	1.314	672.5
300	1.289	660.0
310	1.294	662.4
320	1.327	679.4
330	1.286	658.6
340	1.204	616.7
350	1.156	591.8
