
This file was downloaded on 2021-10-19T04:14:35 UTC from snrcat.physics.umanitoba.ca
G;id_uncertain;id_new;id_alt;id_old;type;type_uncertain;context;remnant;SN_year;SN_association;age_min (yr);age_max (yr);distance_min (kpc);distance_max (kpc);size_coarse (arcmin);size_imprecise;size_radio;size_X;J2000_ra (hh:mm:ss);J2000_dec (dd:mm:ss);J2000_from
G000.0+00.0;;;Sgr A East;;thermal composite;;contains CXOGC J174545.5-285829 = the Cannonball = NS candidate and possibly PWN, close to BH Sgr A*;eje,NS,PWN?;;;1200;10000;8;8;2.9;;3.5'x2.5';;17:45:44;-29:00:00;Green J coord
G000.1-00.1;;;G0.13-0.12;;thermal & plerionic composite;1;contains PWN G0.13-0.11;eje?,PWN;;;;;;;0.7;1;;>40" x ~2";17:46:30;-28:51:30;paper J coord
G000.3+00.0;;;;G0.33+0.04, G0.4+0.1;shell;;;eje;;;;500000;8.5;8.5;11;1;15'x8';;17:46:15;-28:38:00;Green J coord
G000.9+00.1;;;;;plerionic composite;;contains PSR J1747-2809 + PWN G0.87+0.08;eje,PSR,PWN;;;1900;1900;8.5;10;8;;8';;17:47:21;-28:09:00;Green J coord
G001.0-00.1;;;Sgr D;G1.05-0.1, G1.05-0.15;shell;;close to star forming region Sgr D and other SNR candidates G1.02-0.18 and G1.2-0.0;eje;;;;;8;8;8;;8';;17:48:30;-28:09:00;Green J coord
G001.4-00.1;;;;;shell;;;eje;;;;;;;10;;10';;17:49:39;-27:46:00;Green J coord
G001.9+00.3;;;;;shell;;;eje;;;150;220;8.5;8.5;1.5;;1.5';;17:48:45;-27:10:00;Green J coord
G003.7-00.2;;;;G003.8-00.3;shell;;;eje;;;;;;;12;;14'x11';;17:55:26;-25:50:00;Green J coord
G003.8+00.3;;;;;shell;1;;eje;;;;;;;18;;18';;17:52:55;-25:28:00;Green J coord
G004.2-03.5;;;;;shell;;;eje;;;;;;;28;;28';;18:08:55;-27:03:00;Green J coord
G004.5+06.8;;;Kepler, SN1604, 3C358, Kes 57;;shell;;;eje;1604;certain;;;3.3;8.2;3;;3';;17:30:41;-21:29:23;paper J coord
G004.8+06.2;;;;G4.5+6.2;shell;;;eje;;;;;;;18;;18';;17:33:25;-21:34:00;Green J coord
G005.2-02.6;;;;;shell;;;eje;;;;;;;18;;18';;18:07:30;-25:45:00;Green J coord
G005.4-01.2;1;;Milne 56;G5.3-1.0, G5.27-0.9;plerionic composite;1;offset PSR J1801-2451 = B1757-24 = the Duck + PWN G5.27-0.9;eje,PSR?,PWN?;;;;;4.3;5.2;35;;35';;18:02:10;-24:54:00;Green J coord
G005.5+00.3;;;;G5.55+0.32;shell;;;eje;;;;;;;13;;15'x12';;17:57:04;-24:00:00;Green J coord
G005.7-00.1;1;;;G5.71-0.08;shell;1;close to SNR G006.4-00.1 = W28;eje;;;;;2.9;3.2;10;;12'x9';;17:58:49;-24:03:00;paper J coord
G005.9+03.1;;;;;shell;;contains point source = possible compact remnant;eje,NS?;;;;;;;20;;20';;17:47:20;-22:16:00;Green J coord
G006.1+00.5;;;;G6.10+0.53;shell;;;eje;;;;;;;15;;18'x12';;17:57:29;-23:25:00;Green J coord
G006.1+01.2;;;;G6.1+1.15;filled-centre;1;;?;;;;;;;28;;30'x26';-;17:54:55;-23:05:00;Green J coord
G006.4+04.0;;;;;shell;;;eje;;;;;;;31;;31';;17:45:10;-21:22:00;Green J coord
G006.4+04.9;;;;;filled-centre;;bow shock PWN and PSR J1741-2054;PSR,PWN;;;;;;;2;;;2';17:42:10;-20:55:00;NS J coord
G006.4-00.1;;;W28;G6.6-0.2;thermal composite;;close to (probably unrelated) PSR B1758-23 = J1801-2304 (SGR candidate), close to SNRs G5.7-0.1, G6.5-0.4, G7.0-0.1;eje;;;33000;36000;1.6;2.2;48;;48';;18:00:30;-23:26:00;Green J coord
G006.5-00.4;;;;G6.51-0.48, G6.67-0.42;shell;;close to SNR G006.4-00.1 = W28;eje;;;;;;;18;;18';;18:02:11;-23:34:00;Green J coord
G007.0-00.1;;;;G7.06-0.12;shell;;close to SNR G006.4-00.1 = W28;eje;;;;;;;15;;15';;18:01:50;-22:54:00;Green J coord
G007.2+00.2;;;;G7.20+0.20;shell;;;eje;;;;;;;12;;12';;18:01:07;-22:38:00;Green J coord
G007.5-01.7;1;;;;thermal & plerionic composite;;contains PWN G7.4-2.0 = Taz, close to PSR J1809-2332;eje,PWN;;;50000;50000;1.7;2;120;1;~2 deg;8'x5';18:09:00;-23:18:00;paper G name
G007.7-03.7;;;1814-24;;shell;;;eje;386;suggested;500;2200;3.2;6;22;;22';;18:17:25;-24:04:00;Green J coord
G008.3-00.0;;;;G8.31-0.09;shell;;close to SNR G8.7-0.1 = W30;eje;;;;;;;4.5;;5'x4';;18:04:34;-21:49:00;Green J coord
G008.7-00.1;;;(W30);G8.6-0.1;thermal & plerionic composite;1;inside W30 complex, PSR J1803-2137 = B1800-21 and PWN G8.40+0.15 at the edge, close to new SNR G8.3-0.0;eje,PSR?,PWN?;;;15000;28000;3.2;6;45;;45';;18:05:30;-21:26:00;Green J coord
G008.7-05.0;;;;;shell;;;eje;;;;;;;26;;26';;18:24:10;-23:48:00;Green J coord
G008.9+00.4;;;;G8.90+0.40;shell;;;eje;;;;;;;24;;24';;18:03:58;-21:03:00;Green J coord
G009.7-00.0;;;;G9.7-0.1, G9.70-0.06;shell;;;eje;;;;;;;13;;15'x11';;18:07:22;-20:35:00;Green J coord
G009.8+00.6;;;;;shell;;;eje;;;;;;;12;;12';;18:05:08;-20:14:00;Green J coord
G009.9-00.8;;;;G9.95-0.81;shell;;;eje;;;;;;;12;;12';;18:10:41;-20:43:00;Green J coord
G010.5-00.0;;;;G10.59-0.04;shell;;;eje;;;;;;;6;;6';;18:09:08;-19:47:00;Green J coord
G010.9-45.4;;;;G10.93-45.44;filled-centre;;PWN G10.92-45.43 and PSR J2124-3358;PSR,PWN;;;;;;;0.5;;;0.5';21:24:42;-33:58:50;paper G name
