SN1980O, 03 13 27, -25 44.5
SN1982F, 12 30 38, +41 38.0
SN1985F, 12 41 33.01, +41 09 05.9
SN1985G, 12 28 40.4, +09 15 40
SN1985H, 10 46 32.1, +63 13 49
SN1987F, 12 41 37.46, +26 04 28.3
SN1987K, 12 43 41.17, +16 23 44.9
SN1988Z, 10 51 50.10, +16 00 00.5
SN1989L, 22 37 49.71, +23 47 15.7
SN1990K, 00 34 13.98, -27 47 45.9
SN1991G, 12 05 28.85, +50 32 11.7
SN1991ae, 15 48 35.5, +68 06 02
SN1992H, 13 56 22.26, +47 14 27.4
SN1992ad, 12 26 49.59, +08 52 38.7
SN1992bd, 02 46 18.89, -30 16 30.0
SN1993G, 11 28 33.43, +58 33 31.0
SN1993N, 10 29 46.2, +13 01 13
SN1993X, 07 27 40.8, +85 46 26
SN1994I, 13 29 54.072, +47 11 30.50
SN1994P, 11 59 21.065, +52 42 58.78
SN1994W, 12 02 10.92, +62 08 32.7
SN1994Y, 13 55 36.90, +40 27 53.4
SN1994ai, 02 23 06.17, -21 14 09.3
SN1994ak, 09 14 01.47, +40 06 21.5
SN1995X, 22 40 51.30, +75 10 11.5
SN1995ad, 06 01 06.13, -23 40 29.0
SN1996L, 11 38 37.80, -43 25 13.8
SN1996N, 03 38 55.37, -26 20 04.0
SN1996W, 11 59 28.98, -19 15 21.9
SN1996ae, 14 53 59.81, +03 31 46.3
SN1996an, 02 46 00.83, -07 34 20.3
SN1996aq, 14 22 22.72, -00 23 23.8
SN1996bu, 11 20 59.18, +53 12 08.0
SN1996bw, 01 43 44.51, +04 13 19.0
SN1996cb, 11 03 41.98, +28 54 13.7
SN1997W, 01 43 44.48, +04 13 17.1
SN1997X, 12 48 14.28, -03 19 58.5
SN1997ab, 09 51 00.212, +20 04 19.88
SN1997db, 21 56 20.53, +73 14 49.4
SN1997dn, 10 54 18.95, +27 14 07.3
SN1997dq, 11 40 55.90, +11 28 45.7
SN1997ef, 07 57 02.87, +49 33 41.3
SN1997ei, 11 54 59.98, +58 29 26.4
SN1998S, 11 46 06.13, +47 28 55.4
SN1988S, 23 50 58.81, +08 40 28.2
SN1998bm, 09 21 30.49, +64 14 25.4
SN1998dl, 02 46 01.47, -07 34 25.1
SN1998dn, 01 01 27.08, -07 36 36.7
SN1999B, 12 11 16.11, +74 48 06.9
SN1999D, 11 28 28.38, +58 33 39.0
SN1999E, 13 17 16.37, -18 33 13.4
SN1999cn, 15 06 45.4, +12 51 37
SN1999dn, 23 36 14.70, +02 09 08.8
SN1999eb, 01 43 45.45, +04 13 25.9
SN1999el, 20 37 18.03, +66 06 11.9
SN1999em, 04 41 27.04, -02 51 45.2
SN1999gi, 10 18 16.66, +41 26 28.2
SN1999go, 03 37 05.72, -05 02 19.0
SN1999gq, 12 33 48.32, +15 10 48.2
SN2000P, 13 07 10.53, -28 14 02.5
SN2000ew, 11 40 58.52, +11 27 55.9
SN2001ci, 10 01 57.33, +55 41 14.6
SN2002hh, 20 34 44.29, +60 07 19.0
SN2003H, 06 16 25.68, -21 22 23.8
SN2003dv, 14 58 04.92, +58 52 49.9
SN2003ed, 13 47 45.36, +38 18 20.3
SN2003gd, 01 36 42.65, +15 44 19.9
SN2003ie, 12 03 18.15, +44 31 34.6
SN2003lo, 03 37 05.12, -05 02 17.3
SN2004A, 16 43 01.90, +36 50 12.5
SN2004C, 11 27 29.72, +56 52 48.2
CXOUJ095546.6+694037, 09 55 46.6554, +69 40 37.878
SN2004bm, 10 52 35.33, +22 56 05.5
SN2004et, 20 35 25.33, +60 07 17.7
SN2004gt, 12 01 50.37, -18 52 12.7
SN2005U, 11 28 33.22, +58 33 42.5
SN2005V, 06 18 38.28, +78 21 28.8
SN2005ay, 11 52 48.07, +44 06 18.4
SN2005dl, 07 27 31.75, +85 45 15.0
SN2005gl, 00 49 50.02, +32 16 56.8
SN2005kd, 04 03 16.88, +71 43 18.9
SN2005kl, 12 24 35.68, +39 23 03.5
SN2006bp, 11 53 55.74, +52 21 09.4
SN2006gy, 03 17 27.06, +41 24 19.5
SN2006my, 12 43 40.74, +16 23 14.1
SN2006ov, 12 21 55.30, +04 29 16.7
SN2007C, 13 08 49.30, -06 47 01.0
SN2007ak, 05 20 40.75, +08 48 16.0
SN2008X, 12 09 48.33, +58 51 01.6
SN2008ax, 12 30 40.80, +41 38 16.1
SN2008bo, 18 19 54.41, +74 34 21.0
SN2008jb, 03 51 44.66, -38 27 00.1
SN2009E, 12 09 49.56, +58 50 50.3
SN2009dd, 12 05 34.10, +50 32 18.6
SN2009hd, 11 20 16.99, +12 58 46.3
SN2010as, 15 49 49.23, -29 23 09.7
SN2010kp, 04 03 38.85, +70 45 15.7
SN2011cb, 22 47 07.49, -64 49 43.4
SN2012A, 10 25 07.39, +17 09 14.6
SN2013ej, 01 36 48.16, +15 45 31.0
SN2014bc, 12 18 57.71, +47 18 11.3
SN2014bi, 12 06 02.99, +47 29 33.5
SN2015J, 07 35 05.25, -69 07 53.3
SN2016bas, 07 38 05.53, -55 11 47.0
SN2016bau, 11 20 59.02, +53 10 25.6
SN2016gfy, 07 26 45.93, +85 45 51.2
SN2018ec, 10 27 50.77, -43 54 06.3
